Category,Subcategory,Change in company revenue,"Rising operational costs (e.g., materials, rent, logistics)","Rising labor costs (e.g., wages, benefits)",Cost-cutting initiatives to preserve margins,Artificial intelligence reducing workforce number,Budget increases allowing for headcount growth,Expansion into new markets or segments,Launch of new products or services,Delayed or canceled projects impacting workforce needs,"Restructuring, mergers or acquisitions",Shifting business priorities or leadership direction,Difficulty finding qualified candidates,Increased availability of skilled talent,Automation or digital transformation reducing manual roles,Economic uncertainty or market volatility,Changes in government policy or regulation,Industry-specific change in demand,Seasonal or cyclical hiring needs
Revenue Growth,Down >5%,85.71428571,28.57142857,28.57142857,50,21.42857143,0,0,0,14.28571429,0,21.42857143,0,0,7.142857143,28.57142857,0,35.71428571,14.28571429
Revenue Growth,Down 0.1–4.9%,62.5,0,25,37.5,12.5,12.5,12.5,0,25,37.5,25,50,12.5,12.5,25,25,25,12.5
Revenue Growth,Flat,80,70,40,80,10,10,30,30,20,10,0,50,0,10,20,60,20,10
Revenue Growth,Up 0.1–4.9%,68.42105263,10.52631579,31.57894737,31.57894737,15.78947368,0,42.10526316,31.57894737,10.52631579,10.52631579,21.05263158,42.10526316,10.52631579,5.263157895,31.57894737,15.78947368,26.31578947,10.52631579
Revenue Growth,Up 5–9.9%,68.18181818,4.545454545,13.63636364,27.27272727,22.72727273,22.72727273,40.90909091,27.27272727,4.545454545,18.18181818,18.18181818,9.090909091,0,18.18181818,18.18181818,4.545454545,18.18181818,9.090909091
Revenue Growth,Up 10–19.9%,69.23076923,0,11.53846154,15.38461538,11.53846154,26.92307692,53.84615385,26.92307692,15.38461538,7.692307692,7.692307692,11.53846154,0,7.692307692,7.692307692,7.692307692,3.846153846,7.692307692
Revenue Growth,Up >20%,93.33333333,0,13.33333333,6.666666667,0,33.33333333,33.33333333,33.33333333,0,13.33333333,6.666666667,13.33333333,0,0,0,6.666666667,6.666666667,0
Company Revenue Size,Less than $5 million,65,20,25,45,10,10,20,15,10,10,5,15,0,5,20,30,15,0
Company Revenue Size,$5 to $9.9 million,50,37.5,37.5,37.5,12.5,25,25,25,0,0,0,25,12.5,0,12.5,12.5,0,12.5
Company Revenue Size,$10 to $24.9 million,89.47368421,21.05263158,31.57894737,31.57894737,36.84210526,15.78947368,36.84210526,31.57894737,36.84210526,15.78947368,31.57894737,36.84210526,10.52631579,21.05263158,26.31578947,26.31578947,31.57894737,15.78947368
Company Revenue Size,$25 to $49.9 million,64,8,20,24,16,16,44,28,0,12,16,28,0,8,8,0,8,12
Company Revenue Size,$50 to $99.9 million,68,4,12,24,4,16,24,24,8,12,8,8,0,0,20,8,20,8
Company Revenue Size,$100 to $249.9 million,76.19047619,9.523809524,9.523809524,23.80952381,14.28571429,9.523809524,42.85714286,9.523809524,4.761904762,9.523809524,4.761904762,14.28571429,0,19.04761905,9.523809524,4.761904762,9.523809524,4.761904762
Company Revenue Size,$250 to $999.9 million,75,0,25,25,0,25,50,25,0,0,25,25,0,25,25,0,25,0
Company Revenue Size,$1 billion +,33.33333333,0,33.33333333,0,33.33333333,0,0,0,33.33333333,33.33333333,33.33333333,0,0,33.33333333,0,0,66.66666667,0
Pricing Strategy,Low-cost Supplier,70,30,40,40,10,30,20,20,10,20,0,20,0,0,10,0,0,0
Pricing Strategy,Garner a premium of less than 10% over low-cost suppliers,60,12,24,44,8,12,28,16,12,8,16,20,0,4,8,4,16,8
Pricing Strategy,Garner a premium of 10 to 19.9%,74,8,14,18,24,10,30,18,8,12,14,14,4,16,22,10,20,10
Pricing Strategy,Garner a premium of 20 to 29.9%,70.58823529,11.76470588,17.64705882,41.17647059,5.882352941,17.64705882,58.82352941,47.05882353,17.64705882,11.76470588,23.52941176,35.29411765,5.882352941,11.76470588,23.52941176,23.52941176,23.52941176,5.882352941
Pricing Strategy,Garner a premium of 30% +,88.88888889,0,22.22222222,33.33333333,11.11111111,22.22222222,44.44444444,11.11111111,22.22222222,11.11111111,11.11111111,0,0,11.11111111,11.11111111,22.22222222,11.11111111,0
Pricing Strategy,Not applicable - Don't have direct competition,64.28571429,35.71428571,28.57142857,21.42857143,14.28571429,28.57142857,28.57142857,28.57142857,0,14.28571429,7.142857143,35.71428571,0,7.142857143,7.142857143,28.57142857,14.28571429,14.28571429
Industry,Advertising/Marketing/Sales/Media/Publishing,75,25,25,37.5,37.5,12.5,50,12.5,25,62.5,37.5,12.5,0,25,25,12.5,37.5,0
Industry,Agriculture/Forestry/Fishing,100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,100,0,0
Industry,Architecture/Engineering,80,20,20,40,20,0,80,20,20,0,0,40,20,0,60,40,40,20
Industry,"Business Services (e.g., Legal, Accounting, Consulting)",81.25,18.75,25,25,25,31.25,25,18.75,18.75,6.25,6.25,18.75,0,18.75,12.5,18.75,25,0
Industry,Construction,100,10.52631579,21.05263158,21.05263158,10.52631579,10.52631579,26.31578947,15.78947368,15.78947368,5.263157895,5.263157895,10.52631579,0,5.263157895,15.78947368,0,15.78947368,10.52631579
Industry,Education/Government/Non-Profit,75,50,0,0,0,50,0,0,0,25,0,25,0,0,0,25,25,0
Industry,Energy/Utility/Oil/Gas,33.33333333,16.66666667,16.66666667,33.33333333,0,0,0,0,0,0,0,33.33333333,0,16.66666667,16.66666667,16.66666667,16.66666667,0
Industry,Entertainment/Gaming/Sports/Travel,50,0,0,50,50,0,0,50,0,0,0,50,0,50,50,0,50,0
Industry,Financial Services (including Banking and Insurance),50,0,75,100,0,25,25,25,0,25,50,50,25,0,25,25,25,0
Industry,"Health Care - Services (e.g., Hospitals, Medical Practices)",100,0,50,50,0,25,50,50,0,25,25,75,0,0,0,25,0,25
Industry,Manufacturing - Consumer Goods,31.57894737,31.57894737,31.57894737,10.52631579,0,5.263157895,21.05263158,10.52631579,0,15.78947368,10.52631579,5.263157895,0,10.52631579,26.31578947,10.52631579,10.52631579,0
Industry,Manufacturing - Industrial Goods,61.53846154,7.692307692,12.82051282,10.25641026,2.564102564,12.82051282,35.8974359,20.51282051,15.38461538,10.25641026,2.564102564,12.82051282,2.564102564,7.692307692,10.25641026,5.128205128,10.25641026,2.564102564
Industry,Health Care - Pharmaceutical/Biotechnology,100,0,0,200,100,0,100,0,0,200,100,0,0,0,100,100,100,0
Industry,Real Estate/Property Management,20,20,20,40,0,0,0,60,0,20,20,40,0,0,40,20,20,0
Industry,Restaurants/Food/Beverage/Tobacco,80,20,20,20,0,40,40,20,0,0,0,0,0,0,0,0,0,20
